codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,ignicao
902291,,22,-22.972414,-43.401332,2025-02-20 12:23:02,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],113893.4, ,0
902257,,12,-23.001956,-43.572616,2025-02-20 12:43:07,59.4,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],103044.4,104,1
902231,,25,-23.000863,-43.417252,2025-02-20 12:43:09,14.1,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],124480.1,80,1
902289,,22,-23.000208,-43.36678,2025-02-20 12:43:13,25.9,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],70170.5,29,1
902236,,13,-23.002526,-43.366349,2025-02-20 12:31:13,0.0,,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],92961.2,223,0
902273,,17,-22.919976,-43.60825,2025-02-16 00:53:13,0.0,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],101547.7, ,0
902253,,22,-22.972372,-43.401641,2025-02-20 12:26:41,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],107973.9,225,0
902285,,10,-22.972571,-43.401638,2025-02-20 12:22:45,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],97505.1,226,0
902240,,25,-23.002225,-43.571646,2025-02-20 12:43:02,60.2,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],134264.2,104,1
902228,,25,-22.999505,-43.58275,2025-02-20 12:43:02,47.8,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],147153.6,284,1
902242,,15,-23.000737,-43.365846,2025-02-20 12:43:12,0.0,,volta,15 - ALVORADA X CURRAL FALSO [VOLTA],127703.0,45,1
902225,,18,-23.016064,-43.517333,2025-02-20 12:43:15,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],117593.1,99,1
902247,,18,-22.920011,-43.608471,2025-02-20 12:30:42,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],123255.2, ,0
902279,,10,-23.000131,-43.402807,2025-02-20 12:43:02,58.9,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],104373.1,92,1
902259,,15,-22.973246,-43.391037,2025-02-20 12:43:12,59.5,,ida,15 - CURRAL FALSO X ALVORADA [IDA],125274.6,271,1
902232,,11,-22.920045,-43.608085,2025-02-20 11:52:50,0.0,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],137373.3, ,0
902233,,10,-23.009093,-43.446455,2025-02-20 12:43:02,36.5,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],132851.2,254,1
902238,,13,-23.021084,-43.49634,2025-02-20 12:43:13,0.0,,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],155194.8,100,1
902413,,13,-23.002299,-43.366589,2025-02-20 12:42:58,0.0,,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],136279.3,217,1
902245,,12,-22.92028,-43.607712,2025-02-20 12:22:45,0.0,,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],136987.0, ,0
902260,,10,-22.972571,-43.401634,2025-02-20 12:11:27,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],101541.8, ,0
902283,,22,-22.999879,-43.360465,2025-02-20 12:43:12,46.0,,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],718768.8,271,1
902120,,29,-23.002508,-43.365801,2025-02-20 12:28:52,0.0,,volta,29 - ALVORADA X S. ALLENDE (PARADOR) [VOLTA],124981.4, ,0
902205,,10,-22.916962,-43.683565,2025-02-20 12:43:14,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],131690.2, ,1
861039050300660,,0,-22.848323,-43.397092,2023-12-28 17:19:30,0.0,,,,115.5, ,
902243,,22,-23.002512,-43.366405,2025-02-20 12:00:01,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],129916.2, ,0
901101,,67,-22.853549,-43.383964,2025-02-20 12:42:53,0.0,,volta,67 - TERMINAL DEODORO X CAMPO GRANDE [VOLTA],3186.5,301,1
902270,,10,-22.973179,-43.38281,2025-02-20 12:41:49,46.6,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],92826.4,270,1
902152,,22,-23.000449,-43.339546,2025-02-20 12:42:58,43.7,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],118427.1,92,1
902234,,13,-23.002535,-43.366074,2025-02-20 11:45:52,0.0,,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],130504.0, ,0
902432,,25,-23.009366,-43.540076,2025-02-20 12:43:12,5.1,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],135574.8,271,1
902269,,10,-22.920067,-43.608439,2025-01-09 04:46:52,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],34574.1, ,0
902296,,19,-22.972375,-43.401648,2025-02-20 11:58:21,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],98603.5,224,0
902235,,15,-23.002504,-43.365928,2025-02-20 12:27:15,0.0,,ida,15 - CURRAL FALSO X ALVORADA [IDA],135150.0, ,0
902295,,20,-22.919813,-43.607316,2025-02-20 12:16:39,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],64154.2, ,0
902288,,10,-23.000935,-43.367395,2025-02-20 12:34:20,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],60317.5, ,0
902294,,10,-22.97247,-43.401634,2025-02-20 11:55:03,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],58435.1,221,0
902412,,10,-23.000961,-43.367081,2025-02-20 12:42:57,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],124644.3, ,1
902123,,12,-23.000644,-43.364817,2025-02-20 12:43:10,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],126059.5,90,1
902416,,60,-22.820404,-43.324471,2025-02-20 11:58:04,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],56879.1, ,0
902423,,0,-22.848741,-43.396294,2025-02-20 12:43:11,9.8,,,,59522.5,56,1
902141,,20,-22.919992,-43.608566,2024-11-23 15:34:24,0.0,,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],53417.7, ,0
902254,,25,-22.972206,-43.401435,2025-02-20 12:19:23,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],66062.2, ,0
902255,,60,-22.849653,-43.398505,2024-09-22 01:59:23,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],14082.1, ,0
902256,,10,-23.008504,-43.442751,2025-02-20 12:43:08,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],88590.6,73,1
902297,,10,-22.918869,-43.607589,2025-02-20 12:42:59,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],62802.1,89,1
902419,,12,-23.000819,-43.418157,2025-02-20 12:43:06,2.3,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],125368.6,252,1
902421,,90,-22.879538,-43.240021,2025-02-20 12:43:05,57.8,,ida,90 - FUNDÃO X TIG (PARADOR) [IDA],67852.9,148,1
902426,,80,-22.898113,-43.21206,2025-02-20 12:42:51,0.0,,volta,80 - TIG X PENHA (PARADOR) [VOLTA],89101.7,132,1
902427,,0,-22.839845,-43.240149,2025-02-20 12:35:59,0.0,,,,21206.1, ,0
902428,,80,-22.854603,-43.250859,2025-02-20 12:43:11,32.7,,volta,80 - TIG X PENHA (PARADOR) [VOLTA],26688.7,244,1
902430,,60,-22.850153,-43.397881,2025-02-20 12:02:55,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],35315.6, ,0
902440,,31,-23.002063,-43.365481,2025-02-20 12:18:13,0.0,,volta,31 - ALVORADA X VICENTE DE CARVALHO (SEMIDIRETO) [VOLTA],68558.5, ,0
902185,,18,-23.006708,-43.313645,2025-02-20 12:06:06,0.0,,volta,18 - JARDIM OCEÂNICO X PONTAL (EXPRESSO) [VOLTA],121797.7, ,0
902272,,10,-22.972599,-43.401614,2025-02-20 11:09:38,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],85149.8, ,0
902155,,10,-22.854851,-43.252151,2025-02-20 12:11:43,0.0,,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],68178.1, ,0
902248,,25,-23.000966,-43.367333,2025-02-20 12:43:04,0.0,,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],76611.8, ,1
902249,,18,-22.920424,-43.607938,2025-02-20 12:13:34,0.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],119519.2, ,0
902278,,22,-22.995869,-43.365806,2025-02-20 12:43:04,34.6,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],59374.0,2,1
902284,,18,-23.008399,-43.443325,2025-02-20 12:43:01,1.9,,volta,18 - JARDIM OCEÂNICO X PONTAL (EXPRESSO) [VOLTA],98367.1,247,1
902415,,52,-23.000876,-43.365119,2025-02-20 12:10:15,0.0,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],65449.7,137,0
902417,,71,-22.849182,-43.397281,2025-02-19 21:24:37,0.0,,ida,71 - VIGÁRIO GERAL / PRAÇA DOIS X TIG (EXPRESSO) [iDA],63555.9,205,1
902420,,60,-22.820932,-43.324104,2025-02-20 12:39:15,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],64862.4, ,0
902435,,80,-22.841732,-43.274615,2025-02-20 12:43:01,0.0,,ida,80 - PENHA X TIG (PARADOR) [IDA],48230.9,287,1
902267,,25,-22.972373,-43.401623,2025-02-20 12:42:59,0.0,,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],85569.9, ,1
861039050288238,,0,-22.848522,-43.396623,2024-02-05 12:17:46,0.0,,,,0.5, ,
902447,,31,-22.854305,-43.251287,2025-02-20 12:09:22,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],57313.4, ,0
902437,,80,-22.854941,-43.253441,2025-02-20 12:42:59,0.1,,ida,80 - PENHA X TIG (PARADOR) [IDA],12859.7,117,1
902422,,12,-23.002521,-43.365974,2025-02-20 12:43:07,0.0,,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],95732.8,225,1
902441,,80,-22.854229,-43.251892,2025-02-20 12:13:47,0.0,,ida,80 - PENHA X TIG (PARADOR) [IDA],6339.5,27,0
7001,SWK-7A92,ESP01,-22.87205,-43.245542,2025-02-20 12:43:06,54.9,,ida,ESP01 - GALEÃO X TIG (DIRETO) [IDA],95799.9,144,1
7000,SWJ-2G40,ESP01,-22.84698,-43.243277,2025-02-20 12:42:49,0.0,,volta,ESP01 - TIG X GALEÃO (DIRETO) [VOLTA],632.9,66,1
7002,SWS6D22,ESP01,-22.899428,-43.210343,2025-02-20 12:43:13,1.4,,volta,ESP01 - TIG X GALEÃO (DIRETO) [VOLTA],97390.2,61,1
7005,SWS-8A95,ESP01,-22.874842,-43.227136,2025-02-20 12:34:59,0.0,,ida,ESP01 - GALEÃO X TIG (DIRETO) [IDA],8878.5, ,0
7003,SWU-6E33,ESP01,-22.813481,-43.246654,2025-02-20 12:37:03,19.6,,volta,ESP01 - TIG X GALEÃO (DIRETO) [VOLTA],122532.8,210,1
7004,SWH-6A35,ESP01,-22.874848,-43.226743,2025-02-20 12:14:28,0.0,,ida,ESP01 - GALEÃO X TIG (DIRETO) [IDA],102711.9, ,0
902436,,90,-22.897221,-43.212758,2025-02-20 12:43:03,43.1,,volta,90 - TIG x FUNDÃO (PARADOR) [VOLTA],47728.4,309,1
902452,,46,-23.002752,-43.366092,2025-02-20 12:43:15,18.8,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],6908.3,87,1
902450,,31,-23.001935,-43.366142,2025-02-20 12:43:11,19.7,,volta,31 - ALVORADA X VICENTE DE CARVALHO (SEMIDIRETO) [VOLTA],54240.0,274,1
902448,,80,-22.846303,-43.267177,2025-02-20 12:43:10,48.7,,ida,80 - PENHA X TIG (PARADOR) [IDA],6408.5,144,1
902453,,43,-22.850876,-43.263678,2025-02-20 12:43:08,9.7,,volta,43 - SANTA EFIGENIA X FUNDÃO (EXPRESSO) [VOLTA],69703.3,149,1
902442,,0,-22.839635,-43.240257,2025-02-20 12:29:08,0.0,,,,37615.2,345,0
902425,,71,-22.820837,-43.324331,2025-02-20 12:42:58,0.0,,volta,71 - TIG X VIGÁRIO GERAL / PRAÇA DOIS (EXPRESSO) [VOLTA],52693.8, ,0
902229,,10,-23.000856,-43.367353,2025-02-20 12:43:09,0.0,,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],89793.1,130,1
902429,,46,-22.965713,-43.391327,2025-02-20 12:39:06,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],43438.0,145,0
902418,,51,-22.849484,-43.39713,2025-02-19 01:41:55,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],60882.4,239,1
902446,,0,-22.854293,-43.251803,2025-02-20 12:43:16,0.0,,,,33482.9,135,0
902318,,60,-22.853674,-43.24763,2025-02-20 12:43:16,27.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],74847.7,172,1
902433,,61,-22.820779,-43.324133,2025-02-20 12:21:59,0.0,,ida,61 - TERMINAL DEODORO X TIG (EXPRESSO) [IDA],48087.0,46,0
902302,,51,-22.854159,-43.383899,2025-02-20 12:39:31,19.5,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],75474.9,116,1
902424,,80,-22.898647,-43.211511,2025-02-20 12:29:10,2.0,,volta,80 - TIG X PENHA (PARADOR) [VOLTA],59116.3,167,1
902324,,60,-22.820948,-43.324695,2025-02-20 12:42:58,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],54833.4,297,1
902444,,90,-22.899152,-43.210786,2025-02-20 12:43:04,0.0,,volta,90 - TIG x FUNDÃO (PARADOR) [VOLTA],21490.3,123,1
902389,,0,-23.000959,-43.365009,2025-02-20 12:43:01,0.0,,,,2864.8,212,1
902358,,60,-22.814764,-43.293068,2025-02-20 12:43:11,57.2,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],3637.3,106,1
902393,,60,-22.820858,-43.323867,2025-02-20 12:18:42,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],4039.1,109,0
902385,,60,-22.820592,-43.324273,2025-02-20 12:21:20,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],4295.4,113,0
902379,,60,-22.898273,-43.211837,2025-02-20 12:43:07,0.0,,volta,60 - TIG  X  TERMINAL DEODORO (PARADOR) [VOLTA],1953.6,132,1
902381,,61,-22.849263,-43.398016,2025-02-20 12:19:38,0.0,,ida,61 - TERMINAL DEODORO X TIG (EXPRESSO) [IDA],2330.6,164,0
902342,,61,-22.899139,-43.211005,2025-02-20 12:33:22,0.0,,volta,61 - TIG  X  TERMINAL DEODORO (EXPRESSO) [VOLTA],3335.3,317,0
902357,,80,-22.886275,-43.22521,2025-02-20 12:42:55,0.0,,ida,80 - PENHA X TIG (PARADOR) [IDA],3853.2,145,1
902384,,61,-22.820801,-43.324621,2025-02-20 12:41:35,0.0,,volta,61 - TIG  X  TERMINAL DEODORO (EXPRESSO) [VOLTA],59149.7,118,0
902378,,60,-22.820467,-43.32476,2025-02-20 12:28:16,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],4813.9,134,0
902333,,71,-22.820738,-43.324921,2025-02-20 12:29:43,0.0,,volta,71 - TIG X VIGÁRIO GERAL / PRAÇA DOIS (EXPRESSO) [VOLTA],3261.1,297,0
902351,,60,-22.853598,-43.383958,2025-02-20 12:43:07,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],4192.6,287,1
902438,,31,-22.973474,-43.365877,2025-02-20 12:43:04,31.9,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],38558.3,90,1
902404,,60,-22.854036,-43.384274,2025-02-20 12:43:07,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],3046.7,116,1
902373,,60,-22.874884,-43.243432,2025-02-20 12:42:58,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],1927.5,141,1
902367,,61,-22.84958,-43.397474,2025-02-20 12:25:08,0.0,,ida,61 - TERMINAL DEODORO X TIG (EXPRESSO) [IDA],4453.3,251,0
902376,,60,-22.842605,-43.373163,2025-02-20 12:42:58,56.6,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],2643.7,55,1
902386,,51,-22.896006,-43.399244,2025-02-20 12:43:10,0.0,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],1847.1,165,1
902331,,61,-22.820664,-43.324333,2025-02-20 12:24:36,0.0,,ida,61 - TERMINAL DEODORO X TIG (EXPRESSO) [IDA],3835.9,114,0
902395,,60,-22.847977,-43.3965,2025-02-13 04:07:11,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],0.0,129,0
902391,,52,-22.850541,-43.398133,2025-02-20 12:31:03,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],4191.3,161,0
902398,,60,-22.848917,-43.397087,2025-02-20 12:33:29,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],3805.7,101,0
902394,,60,-22.82415,-43.332223,2025-02-20 12:43:09,0.0,,volta,60 - TIG  X  TERMINAL DEODORO (PARADOR) [VOLTA],3746.3,249,1
902390,,61,-22.849497,-43.397588,2025-02-20 12:37:02,0.0,,ida,61 - TERMINAL DEODORO X TIG (EXPRESSO) [IDA],3661.4,228,0
902403,,80,-22.862799,-43.247962,2025-02-20 12:43:07,49.7,,ida,80 - PENHA X TIG (PARADOR) [IDA],2351.9,178,1
902365,,71,-22.848025,-43.396599,2025-02-13 19:32:36,0.0,,ida,71 - VIGÁRIO GERAL / PRAÇA DOIS X TIG (EXPRESSO) [iDA],0.1,44,0
902399,,71,-22.820565,-43.324064,2025-02-20 12:14:06,0.0,,ida,71 - VIGÁRIO GERAL / PRAÇA DOIS X TIG (EXPRESSO) [iDA],1882.4,281,0
902359,,60,-22.853715,-43.383765,2025-02-20 12:42:52,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],3895.0,274,1
902377,,71,-22.821038,-43.324456,2025-02-20 12:39:21,0.0,,ida,71 - VIGÁRIO GERAL / PRAÇA DOIS X TIG (EXPRESSO) [iDA],3068.5,266,0
902382,,60,-22.886305,-43.225088,2025-02-20 12:42:48,28.8,,volta,60 - TIG  X  TERMINAL DEODORO (PARADOR) [VOLTA],3107.0,316,1
902311,,71,-22.820506,-43.32424,2025-02-20 12:38:59,0.0,,ida,71 - VIGÁRIO GERAL / PRAÇA DOIS X TIG (EXPRESSO) [iDA],2515.5,312,0
902346,,60,-22.842019,-43.251801,2025-02-20 12:43:07,32.2,,volta,60 - TIG  X  TERMINAL DEODORO (PARADOR) [VOLTA],3103.7,317,1
862096070026997,,0,-22.839712,-43.239801,2024-06-05 12:15:43,0.0,,,,9.0,141,
902406,,60,-22.824153,-43.331749,2025-02-20 12:43:07,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],2942.3,63,1
902409,,80,-22.849256,-43.39803,2025-02-20 12:22:05,0.0,,ida,80 - PENHA X TIG (PARADOR) [IDA],2278.6,167,0
902355,,60,-22.820558,-43.324578,2025-02-20 12:25:53,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],3477.3,114,0
902411,,60,-22.815194,-43.290802,2025-02-20 12:43:00,34.5,,volta,60 - TIG  X  TERMINAL DEODORO (PARADOR) [VOLTA],4936.1,286,1
902401,,60,-22.899014,-43.21152,2025-02-20 12:39:58,0.0,,volta,60 - TIG  X  TERMINAL DEODORO (PARADOR) [VOLTA],1679.7,302,0
902309,,60,-22.867376,-43.247483,2025-02-20 12:42:49,47.8,,volta,60 - TIG  X  TERMINAL DEODORO (PARADOR) [VOLTA],4882.4,351,1
902352,,71,-22.820939,-43.3245,2025-02-20 12:35:52,0.0,,ida,71 - VIGÁRIO GERAL / PRAÇA DOIS X TIG (EXPRESSO) [iDA],3584.1,300,0
902336,,71,-22.821036,-43.324496,2025-02-19 21:34:39,0.0,,volta,71 - TIG X VIGÁRIO GERAL / PRAÇA DOIS (EXPRESSO) [VOLTA],3657.9,234,1
